words;count;idf;tf
contradiction;6;6;0
contradictions;2;2;1
contradictory;3;3;2
contradicts;4;4;1
contraignant;1;1;0
contraindicated;1;1;1
contralateral;2;2;1
contrapuntally;1;1;0
contrariety;1;1;1
contrarily;1;1;0
contrary;20;20;8
contrast;91;91;40
contrasted;15;15;8
contrasting;23;23;7
contrastive;2;2;2
contrasts;22;22;11
contravariance;1;1;1
contravene;1;1;0
contre;3;3;0
contretemps;1;1;1
contribute;80;80;33
contributed;65;65;24
contributes;32;32;17
contributing;31;31;15
contribution;63;63;24
contributions;51;51;17
contributor;12;12;7
contributors;15;15;6
contributory;1;1;0
contrive;1;1;1
control;151;151;54
controllable;3;3;0
controllably;1;1;1
controlled;87;87;34
controller;4;4;2
controllers;3;3;2
controlling;35;35;11
controls;27;27;11
controversial;38;38;13
controversialists;1;1;0
controversially;3;3;2
controversies;13;13;5
controversy;32;32;15
conularids;1;1;0
conurbation;3;3;2
conus;2;2;1
convecting;2;2;1
convection;15;15;8
convective;8;8;3
convene;1;1;0
convened;5;5;3
convenience;13;13;3
convenient;20;20;5
conveniently;5;5;3
convenire;1;1;0
convent;2;2;0
convention;71;71;35
conventional;50;50;18
conventionally;13;13;8
conventions;31;31;14
convents;2;2;1
converge;3;3;2
converged;3;3;1
convergence;10;10;6
convergent;19;19;11
convergently;2;2;1
converges;4;4;1
converging;3;3;1
conversant;1;1;1
conversation;11;11;4
conversational;1;1;1
conversations;5;5;1
converse;1;1;0
conversely;4;4;3
conversion;53;53;19
conversions;5;5;2
convert;46;46;22
convertases;1;1;1
converted;75;75;23
converter;4;4;3
converters;1;1;1
converti;1;1;0
convertible;2;2;0
converting;40;40;15
converts;20;20;9
convex;5;5;2
convexity;1;1;1
convey;15;15;6
conveyance;1;1;0
conveyed;4;4;2
conveying;4;4;2
conveyor;2;2;0
conveys;7;7;0
convicted;5;5;1
conviction;4;4;2
convicts;1;1;0
convince;6;6;4
convinced;16;16;8
convincing;4;4;0
convincingly;1;1;1
convoluted;2;2;1
convolution;1;1;0
convoy;1;1;0
convoys;2;2;1
convulsions;2;2;0
conway;6;6;2
conybeare;1;1;0
cooficial;1;1;0
cooinsheanse;1;1;1
cook;26;26;6
cookbook;12;12;4
"cookbook
";8;8;2
cookbooks;1;1;0
cooke;4;4;1
cooked;23;23;10
cooker;2;2;0
cookery;5;5;1
cookie;1;1;0
cookies;4;4;0
cooking;41;41;19
cookingculinary;1;1;0
cookingsurvival;1;1;0
cooks;5;5;1
cooksonia;1;1;0
cooktop;1;1;1
cookware;4;4;2
cool;57;57;21
coolant;7;7;6
coolants;2;2;0
coolantsdiving;1;1;0
coole;1;1;0
cooled;32;32;15
coolen;1;1;0
cooler;28;28;13
coolest;8;8;6
cooley;1;1;0
cooling;42;42;21
coolness;2;2;0
cools;7;7;3
cooney;1;1;1
coop;1;1;0
cooper;9;9;5
cooperate;4;4;3
cooperated;2;2;1
cooperating;1;1;1
cooperation;38;38;14
cooperationmember;3;3;1
cooperativa;1;1;0
cooperative;13;13;1
cooperatives;2;2;0
coordinate;22;22;5
coordinated;25;25;9
coordinates;32;32;13
coordinating;7;7;4
coordination;23;23;9
coordinatively;1;1;0
coordinator;3;3;1
coorg;1;1;1
cop;1;1;0
copa;2;2;1
copas;1;1;0
cope;20;20;5
coped;1;1;0
copei;2;2;1
copeia;1;1;0
copeland;2;2;0
copenhagen;2;2;0
copernican;6;6;1
copernicium;3;3;2
copernicus;10;10;4
copied;11;11;2
copies;27;27;12
copihue;1;1;0
coping;1;1;0
copioso;1;1;0
copious;6;6;4
copland;3;3;0
copolymer;1;1;1
coppellotti;1;1;1
coppename;1;1;0
copper;47;47;19
copperchemical;1;1;0
coppola;1;1;0
coprinopsis;1;1;0
coprinus;2;2;2
coproduct;1;1;0
coprogenous;1;1;0
coprolite;2;2;0
coprolites;4;4;0
cops;2;2;2
coptic;5;5;1
copulation;1;1;0
copulatory;3;3;1
copy;26;26;9
copying;4;4;1
copyists;1;1;1
copyright;18;18;7
copyrighted;2;2;1
copyrights;1;1;1
coq;1;1;0
coquere;1;1;1
coquimbo;1;1;0
coquinaria;1;1;0
cor;3;3;0
cora;1;1;0
corail;1;1;0
coral;20;20;10
coralline;1;1;1
corallorhiza;1;1;0
coralroot;1;1;0
corals;15;15;6
corantijn;1;1;0
corax;1;1;0
corazon;1;1;1
corazziari;1;1;1
corbella;1;1;0
corbett;3;3;1
corboz;1;1;1
corbusier;1;1;0
corby;1;1;1
corbyn;1;1;0
corcu;2;2;0
cord;13;13;5
cordata;1;1;0
cordate;2;2;1
corded;1;1;0
cordell;1;1;1
corder;1;1;0
cordesman;1;1;1
cordial;4;4;2
cordierite;1;1;0
cordillera;6;6;2
cordillerahidden;1;1;1
cordilleran;2;2;0
cordis;1;1;0
cordobazo;1;1;0
cordon;1;1;0
cords;7;7;6
cordus;1;1;0
cordyceps;1;1;1
cordyline;1;1;1
core;94;94;35
cored;1;1;1
coreff;1;1;0
coreless;1;1;1
coren;1;1;1
cores;15;15;6
corey;1;1;0
coriaceous;2;2;0
coriander;1;1;0
coriariaceae;1;1;1
coring;1;1;1
corinth;3;3;2
corinthian;1;1;0
corinthians;1;1;0
coriolis;7;7;3
coriolus;2;2;1
cork;2;2;1
corks;1;1;0
corkscrew;2;2;1
corliss;2;2;1
corm;2;2;1
cormac;2;2;1
cormels;1;1;1
cormlets;1;1;1
cormophyta;1;1;0
cormous;1;1;1
corms;5;5;3
corn;20;20;6
cornacchini;1;1;0
cornales;1;1;1
cornea;3;3;0
corned;1;1;0
corneille;1;1;0
cornel;1;1;0
cornelia;1;1;1
cornelis;4;4;2
cornelius;6;6;3
cornell;24;24;11
cornelsen;1;1;1
corner;12;12;6
cornered;1;1;1
corners;5;5;3
cornerstone;4;4;2
cornerstones;1;1;0
cornette;1;1;0
corneum;1;1;1
cornfield;2;2;2
cornice;1;1;1
cornille;1;1;1
cornish;12;12;9
cornishmen;1;1;1
cornouaille;2;2;1
cornouailles;1;1;1
cornovii;1;1;1
cornu;1;1;1
cornualia;1;1;1
cornubia;1;1;1
cornubian;2;2;2
cornucopia;1;1;1
cornutus;1;1;1
cornwall;5;5;5
cornwallceltic;1;1;1
cornwallis;2;2;1
cornwalum;1;1;1
cornwealas;1;1;1
cornwealum;1;1;1
cornwell;1;1;1
cornyn;1;1;0
corolla;2;2;0
corollary;1;1;1
corominas;1;1;0
corona;5;5;2
coronado;1;1;0
coronae;1;1;1
coronagraph;2;2;1
coronal;9;9;4
coronaria;1;1;0
coronary;18;18;6
coronation;12;12;5
coronel;1;1;0
corot;2;2;1
corp;1;1;1
corpet;1;1;0
corpora;1;1;0
corporal;2;2;1
corporate;31;31;16
corporation;29;29;13
corporations;12;12;5
corporatisation;1;1;1
corporatising;1;1;0
corporeal;2;2;1
corporeality;1;1;0
corporis;6;6;1
corporum;1;1;1
corps;14;14;4
corpse;2;2;0
corpses;4;4;1
corpus;17;17;6
corpuscle;1;1;0
corpuscles;2;2;0
corpuscular;2;2;0
corpuscularism;1;1;1
corr;1;1;1
corral;1;1;1
correct;74;74;27
corrected;24;24;12
correcting;8;8;1
correction;14;14;5
correctional;2;2;1
corrections;14;14;6
corrective;2;2;1
correctly;16;16;8
correctness;4;4;1
correctnesshidden;1;1;0
corrects;1;1;0
correlatable;1;1;1
correlate;9;9;5
correlated;13;13;4
correlates;7;7;3
correlating;7;7;2
correlation;33;33;8
correlations;11;11;2
correns;1;1;0
correspond;48;48;18
correspondance;1;1;0
corresponded;10;10;7
correspondence;19;19;7
correspondences;6;6;1
correspondent;1;1;0
corresponding;96;96;40
correspondingly;3;3;2
corresponds;54;54;18
correy;1;1;1
corridor;10;10;4
corridors;5;5;1
corriedale;1;1;0
corrientes;1;1;0
corriher;1;1;0
corroborated;1;1;0
corroborates;2;2;2
corroboration;1;1;0
corroborative;2;2;1
corrode;3;3;0
corroded;1;1;0
corrodes;3;3;1
corroon;1;1;1
corrosion;13;13;6
corrosive;4;4;1
corrosiveness;1;1;0
corrpution;1;1;1
corrupt;4;4;0
corrupted;5;5;2
corrupting;1;1;1
corruption;15;15;7
corrym;1;1;1
corseul;1;1;0
corsica;2;2;0
corsican;2;2;0
corso;1;1;1
cort;1;1;0
corte;2;2;0
cortesao;1;1;1
cortex;11;11;6
cortical;7;7;4
corticioid;4;4;1
corticola;1;1;0
corticolous;2;2;2
cortina;2;2;1
cortisol;1;1;0
cortona;1;1;1
cortot;1;1;0
corundum;1;1;1
corvallis;1;1;1
corvette;1;1;1
corvus;1;1;0
cory;1;1;0
corymb;1;1;1
corzine;1;1;0
coscarelli;1;1;1
cosgrove;1;1;1
cosimo;4;4;1
cosines;1;1;1
cosmas;1;1;1
cosmetic;2;2;0
cosmetics;3;3;2
cosmic;33;33;15
cosmical;1;1;0
cosmo;1;1;0
cosmochemistry;2;2;1
cosmochimica;7;7;1
cosmodrome;1;1;1
cosmogenic;3;3;2
cosmographer;1;1;0
cosmographia;1;1;0
cosmographiae;1;1;0
cosmography;1;1;1
cosmological;14;14;3
cosmology;8;8;5
cosmonaut;1;1;1
cosmonauts;1;1;1
cosmopolitan;13;13;5
cosmopolitanism;1;1;0
cosmopolitics;1;1;1
cosmos;5;5;2
cospar;1;1;1
cospeciation;1;1;0
cossack;1;1;1
cost;65;65;28
costa;17;17;3
costal;1;1;0
costerton;4;4;2
costin;1;1;1
costing;7;7;3
costis;1;1;0
costly;11;11;4
costs;36;36;12
costume;4;4;1
costumed;1;1;1
costumes;4;4;1
coswig;1;1;0
cot;2;2;1
cotangent;1;1;0
cote;1;1;1
cotectic;1;1;1
cotectics;1;1;0
cotentin;1;1;0
coterminous;3;3;1
cotidianis;1;1;0
cotidianul;1;1;0
cotonou;1;1;0
cotran;2;2;2
cott;1;1;1
cottage;1;1;1
cottages;1;1;1
cotte;1;1;1
cotton;15;15;4
cottoncoats;1;1;1
cottonseed;1;1;0
cottonwood;5;5;1
cottony;2;2;2
cottrell;2;2;2
cotyledon;1;1;0
cotyledonary;1;1;0
cotyledons;4;4;0
cotyliscus;1;1;0
coubertin;1;1;0
couch;2;2;1
couches;1;1;0
cougars;1;1;0
cough;3;3;3
coughing;1;1;1
coughlin;1;1;1
coughs;1;1;0
couinaud;1;1;1
coulee;1;1;1
coulmas;1;1;1
coulomb;5;5;1
coulson;1;1;0
coulston;1;1;0
coulton;1;1;0
"counani
";1;1;0
council;112;112;51
councillor;1;1;1
councillors;5;5;4
councilman;2;2;2
councilmen;1;1;1
councilor;1;1;1
councilors;2;2;2
councils;14;14;5
counihan;1;1;0
counsel;4;4;2
counseling;1;1;0
count;55;55;24
countable;4;4;2
countdown;1;1;1
counted;35;35;15
counter;23;23;8
counteract;9;9;2
counteracted;1;1;1
counteracting;1;1;1
counteranion;1;1;0
counterarguments;1;1;1
counterattack;2;2;1
counterattacks;1;1;0
counterbalance;1;1;0
counterbalancing;1;1;0
counterclockwise;1;1;1
countercultural;2;2;1
counterculture;3;3;2
counterdie;1;1;0
counterdies;1;1;0
countered;1;1;0
counterfactual;1;1;0
countering;4;4;3
counterintuitive;1;1;0
counternutation;1;1;0
counterpart;17;17;9
counterparts;8;8;1
counterproposed;1;1;0
counterpulsation;1;1;0
counterrevolutions;1;1;0
counters;5;5;1
counterstain;1;1;1
countertop;1;1;1
countertops;1;1;1
counterweight;1;1;0
counterweights;1;1;1
countess;1;1;0
counties;19;19;12
countieshidden;1;1;1
counting;26;26;8
countless;14;14;7
countrey;1;1;1
countries;144;144;56
countrieshidden;1;1;0
countriesleast;1;1;0
countriesliberal;2;2;2
countriesmember;2;2;0
countriesnear;1;1;0
countriessouth;1;1;1
countriessouthern;1;1;0
countriesspanish;1;1;1
countriesstates;4;4;1
country;115;115;51
countryhidden;1;1;0
countrylists;1;1;0
countrymen;1;1;1
countryside;10;10;6
countrysides;1;1;0
countrywide;1;1;1
counts;23;23;5
county;38;38;18
coup;15;15;5
coupe;1;1;0
couperin;2;2;0
coupes;1;1;1
couple;30;30;10
coupled;34;34;10
couples;8;8;5
couplet;1;1;1
couplets;1;1;1
coupling;10;10;3
coups;1;1;1
coupure;1;1;0
cour;5;5;1
courage;5;5;3
couramment;1;1;1
courant;3;3;1
courbage;1;1;1
courbet;2;2;1
courbevoie;1;1;0
courgette;1;1;0
courier;13;13;5
couriers;1;1;1
cours;1;1;1
course;99;99;42
courses;27;27;11
coursing;1;1;1
court;72;72;32
courtauld;2;2;0
courtenay;1;1;1
courtesan;1;1;1
courtesy;3;3;1
courthouse;3;3;2
courtier;1;1;1
courtiers;2;2;1
courtland;1;1;1
courtly;1;1;0
courtney;1;1;1
courtroom;2;2;1
courts;29;29;15
courtship;5;5;2
courtyard;6;6;2
cousens;1;1;0
cousin;9;9;4
cousins;4;4;0
coustou;1;1;0
coustouges;1;1;0
coutsoukis;1;1;1
couttolenc;1;1;0
couturat;1;1;0
couture;1;1;0
couturier;1;1;0
covalent;21;21;7
covalently;8;8;3
covariance;3;3;1
covariant;1;1;1
covariate;1;1;0
covariates;1;1;0
cove;5;5;5
covenant;2;2;0
covenanters;1;1;0
covenants;1;1;1
coventry;1;1;0
cover;89;89;35
coverage;19;19;11
covered;132;132;44
covering;77;77;30
covers;84;84;33
covert;1;1;0
coveted;3;3;0
covshoff;1;1;1
cow;5;5;2
cowbells;1;1;0
cowboy;5;5;2
cowboys;2;2;0
cowell;1;1;0
cowgill;1;1;1
cowgirl;1;1;0
cowing;1;1;0
cowles;2;2;1
cowling;1;1;1
coworkers;1;1;0
cows;8;8;3
cox;8;8;3
coxa;2;2;1
coxal;1;1;0
coxinha;1;1;0
coyle;1;1;0
coyote;4;4;3
coyotes;1;1;0
coypu;1;1;0
coysevox;1;1;0
cp;6;6;1
cpa;2;2;0
cpc;1;1;0
cpd;1;1;1
cpg;1;1;1
cpi;1;1;1
cplp;1;1;0
cpr;1;1;0
cps;1;1;1
cpt;2;2;0
cpus;1;1;1
cq;3;3;3
cr;9;9;4
crab;13;13;3
crabapple;1;1;0
crabapples;1;1;0
crabbe;1;1;1
crabs;3;3;0
crabtree;1;1;1
cracher;1;1;0
crack;12;12;7
cracked;3;3;2
cracker;1;1;1
crackers;1;1;1
cracking;7;7;3
crackington;1;1;1
cracks;23;23;16
cracow;1;1;1
cracraft;2;2;0
craddock;1;1;0
cradle;8;8;3
cradled;1;1;0
cradles;4;4;0
cradock;1;1;0
craft;13;13;3
crafted;4;4;1
crafts;8;8;1
craftshidden;1;1;1
craftsman;1;1;0
craftsmanship;1;1;0
craftsmen;3;3;0
craftspeople;2;2;0
craftsperson;1;1;0
craftswoman;1;1;0
craig;25;25;8
craigie;1;1;1
craith;1;1;1
crake;1;1;1
crame;1;1;0
cramped;3;3;2
cranach;1;1;0
cranberries;1;1;0
cranberry;2;2;0
cranbrook;1;1;1
crandall;1;1;1
crane;4;4;2
cranes;2;2;1
cranfield;2;2;1
cranfill;1;1;0
cranial;8;8;5
craniata;2;2;1
craniates;1;1;0
cranium;3;3;1
crantor;1;1;1
craon;1;1;0
crash;9;9;6
crashed;5;5;1
crashes;1;1;1
crashing;1;1;1
crassa;3;3;0
crasse;1;1;0
crassis;1;1;0
crassula;1;1;1
crassulacean;3;3;2
crassulaflora;1;1;1
crassus;1;1;1
crate;1;1;0
crater;16;16;9
cratered;2;2;1
craterellus;1;1;0
cratering;4;4;2
craters;13;13;9
crates;2;2;0
craton;6;6;1
cratonisation;1;1;1
cratons;8;8;4
cratylus;1;1;0
craven;1;1;0
crawdads;1;1;1
crawford;3;3;2
crawl;2;2;1
crawled;1;1;0
crawling;2;2;0
crayfish;2;2;2
crayola;1;1;0
crayon;1;1;0
craze;2;2;2
crazy;4;4;2
crc;62;62;21
creaking;1;1;0
cream;7;7;3
creameries;1;1;0
creamy;3;3;1
creando;1;1;1
crease;2;2;0
create;138;138;54
created;204;204;86
creates;56;56;22
creating;110;110;44
creation;113;113;42
creationists;1;1;0
creations;7;7;1
creative;601;601;239
creatively;2;2;1
creativity;6;6;0
creator;9;9;5
creators;7;7;4
creature;12;12;4
creatures;25;25;12
creatureschinese;1;1;0
crebro;1;1;0
creche;1;1;0
crecimiento;1;1;0
credence;2;2;0
credentials;2;2;1
credibility;6;6;1
credible;4;4;1
credit;27;27;13
creditable;1;1;1
creditanstalt;1;1;1
credited;48;48;25
crediting;1;1;0
crediton;1;1;1
creditor;2;2;1
creditors;1;1;0
credits;10;10;4
credo;2;2;0
cree;1;1;1
creed;3;3;1
creeds;1;1;0
creek;18;18;7
creeks;1;1;0
creencias;2;2;0
creep;6;6;2
creeping;5;5;0
creeps;1;1;0
creepy;1;1;0
creevey;4;4;2
creighton;2;2;1
cremation;1;1;1
cremer;1;1;0
cremona;1;1;0
crenarchaeal;1;1;0
crenarchaeon;2;2;1
crenarchaeota;2;2;1
creodonts;2;2;1
creole;15;15;7
creoles;4;4;2
creolization;1;1;1
crepenynic;1;1;0
crepet;1;1;0
crepidata;1;1;1
crepitans;1;1;0
crepuscular;1;1;0
crescent;19;19;8
crescentes;1;1;0
crescentic;1;1;0
crescentnational;1;1;0
crescentpakistan;1;1;1
cressie;1;1;1
crest;10;10;4
crested;2;2;0
crests;5;5;2
creta;2;2;0
cretacea;1;1;0
cretaceous;36;36;13
cretan;2;2;1
cretans;1;1;0
crete;7;7;3
cretehidden;1;1;1
crevasse;1;1;1
crevasses;3;3;1
crevice;1;1;1
crevices;1;1;1
crew;12;12;6
crewed;1;1;1
crewless;1;1;0
crewmember;1;1;1
crewmembers;1;1;1
crewmen;2;2;1
crews;6;6;2
cribbs;1;1;0
crichton;1;1;0
crick;2;2;1
cricket;11;11;5
cricketer;3;3;2
crickets;1;1;0
cricoid;1;1;1
crielaard;1;1;0
cries;2;2;0
crillon;1;1;0
crime;11;11;4
crimea;1;1;0
crimean;4;4;2
crimes;12;12;5
criminal;20;20;9
criminalised;1;1;1
criminalized;1;1;0
criminals;3;3;1
crimini;1;1;1
criminology;1;1;0
crimped;1;1;1
crimson;3;3;2
crinkly;1;1;1
crinoid;1;1;0
crinoids;7;7;1
criollo;2;2;1
criollos;1;1;0
crippled;1;1;0
crippling;1;1;1
cris;1;1;1
crisco;1;1;0
crises;8;8;4
crisis;33;33;14
crisium;1;1;0
crisol;1;1;0
crisp;1;1;0
crispr;1;1;0
crispus;1;1;1
crispy;2;2;2
crisscrossed;1;1;0
crista;2;2;0
cristalline;1;1;0
cristatum;1;1;1
cristina;5;5;2
cristo;2;2;2
cristoforetti;1;1;1
cristopher;1;1;0
cristophii;1;1;0
crit;4;4;0
criteria;54;54;28
criteriawikipedia;1;1;1
criterion;20;20;5
critic;7;7;2
critical;118;118;49
criticality;1;1;1
critically;21;21;9
criticise;1;1;0
criticised;9;9;5
criticises;1;1;1
criticism;26;26;12
criticisms;6;6;1
criticize;4;4;3
criticized;25;25;10
criticizes;2;2;0
critics;18;18;7
critique;15;15;3
critiqued;1;1;0
critiques;2;2;1
critiquing;3;3;1
crittenden;1;1;1
crm;1;1;1
croaking;1;1;0
croatia;4;4;1
croatian;6;6;3
croats;1;1;1
croc;1;1;1
croce;1;1;0
crocitti;1;1;0
crocker;1;1;0
crocodile;3;3;2
crocodiles;8;8;5
crocodilia;1;1;0
crocodilians;4;4;3
crocodylomorph;1;1;1
crocodylus;1;1;0
crocus;4;4;2
croft;3;3;2
crofting;1;1;0
croissants;1;1;0
croklaan;1;1;0
croll;1;1;0
cromarty;2;2;1
crombie;2;2;1
crompton;1;1;1
cromptoni;1;1;1
cromwell;1;1;0
croneberg;1;1;1
cronin;1;1;0
cronopaque;1;1;0
cronquist;13;13;4
cronus;1;1;1
cronykil;1;1;1
croo;1;1;0
crook;1;1;0
crooked;1;1;0
crooker;1;1;0
crookes;1;1;0
croom;2;2;2
crop;43;43;15
cropland;2;2;2
cropped;1;1;0
cropping;3;3;0
crops;42;42;13
cropsey;1;1;0
croque;1;1;0
crore;2;2;0
crosby;1;1;0
crosfield;1;1;0
cross;74;74;24
crossan;1;1;0
crossbar;1;1;0
crosscutting;2;2;1
crossdating;1;1;0
crossection;1;1;0
crossed;25;25;8
crosses;19;19;5
crossfire;1;1;0
crossing;25;25;9
crossings;2;2;1
crosslinking;1;1;0
crossosomatales;1;1;1
crossover;10;10;4
crossroads;7;7;4
crossties;1;1;0
crosstree;2;2;1
crosswords;1;1;1
crous;1;1;1
croute;1;1;1
croutons;1;1;0
crover;1;1;1
crow;10;10;1
crowbar;2;2;1
crowd;6;6;2
crowded;8;8;4
crowding;1;1;0
crowds;3;3;2
crowdsourced;1;1;1
crowdsourcing;1;1;1
crowell;2;2;0
crowley;2;2;2
crown;45;45;18
crowned;11;11;4
crowning;2;2;0
crownland;1;1;1
crowns;5;5;2
crowood;1;1;0
crows;3;3;1
croyde;1;1;1
crozet;2;2;1
crp;1;1;0
crs;2;2;1
crucial;47;47;13
crucially;3;3;2
crucian;1;1;0
cruciata;1;1;0
crucible;1;1;1
crucifer;1;1;0
cruciferae;2;2;0
cruciferbarbarea;1;1;0
cruciferous;5;5;3
crucifers;2;2;1
crucified;2;2;0
crucifix;1;1;0
crucifixion;4;4;0
crucifixionpeople;1;1;0
crucify;1;1;0
crude;22;22;7
crudos;1;1;0
cruel;3;3;2
cruelty;3;3;3
cruise;8;8;4
cruiser;1;1;0
cruises;1;1;0
cruising;1;1;0
cruithne;1;1;1
crum;1;1;0
crumb;1;1;0
crumbles;1;1;1
crumbling;5;5;2
crumbs;1;1;0
crumpet;1;1;1
crunchiness;1;1;0
crunchy;2;2;0
crural;1;1;0
crurotarsans;1;1;0
crus;1;1;0
crusade;3;3;0
crusader;3;3;0
crusaders;2;2;1
crusades;2;2;0
crusca;1;1;0
cruse;3;3;1
crush;5;5;2
crushed;16;16;8
crushing;8;8;6
crusoe;3;3;1
crust;57;57;31
crustacea;2;2;0
crustacean;4;4;1
crustaceans;8;8;3
crustal;15;15;7
crustose;2;2;2
crusts;4;4;3
crusty;1;1;1
crutch;1;1;0
crutzen;2;2;0
crux;1;1;1
cruz;12;12;4
cruziana;3;3;0
crv;1;1;1
cryic;1;1;0
cryobiology;2;2;2
cryofixation;1;1;0
cryofracturing;1;1;1
cryogen;1;1;1
cryogenian;4;4;3
cryogenic;5;5;2
cryogenics;3;3;1
cryogienian;1;1;0
cryolite;1;1;1
cryopreservation;1;1;0
cryoprotectant;1;1;1
cryos;1;1;1
cryosphere;3;3;2
cryoturbation;2;2;0
cryphonectria;1;1;0
crypt;4;4;2
cryptic;9;9;1
cryptobiotic;1;1;1
cryptococcus;2;2;0
cryptogamic;1;1;0
cryptogamie;1;1;0
cryptogams;1;1;0
cryptophyta;1;1;1
cryptophytes;1;1;1
cryptozoic;2;2;1
crystal;41;41;19
crystalline;27;27;10
crystallinity;1;1;1
crystallisation;2;2;1
crystallises;3;3;3
crystallization;8;8;5
crystallize;2;2;0
crystallized;7;7;5
crystallizes;5;5;2
crystallizing;1;1;0
crystallographic;4;4;3
crystallographica;2;2;1
crystallography;3;3;1
crystals;29;29;15
cs;2;2;0
csa;1;1;0
csaba;1;1;0
csb;1;1;0
cse;1;1;0
csfheo;1;1;0
cshl;2;2;0
csir;1;1;0
csiro;10;10;3
csk;1;1;0
csm;1;1;0
csrd;1;1;0
ct;6;6;1
ctbto;1;1;0
ctenophora;1;1;1
ctenophore;1;1;1
ctenophores;1;1;0
cter;1;1;0
cthulhu;1;1;1
ctr;1;1;0
cty;1;1;0
cu;8;8;2
cuadernos;1;1;0
cuadrado;1;1;1
cual;1;1;0
cuan;1;1;0
cuando;1;1;0
cuaron;1;1;1
cuaternario;1;1;0
cuatro;1;1;0
cuba;3;3;1
cuban;5;5;3
cubans;1;1;0
cube;11;11;5
cubed;1;1;1
cubes;3;3;0
cubesat;1;1;1
cubesats;1;1;0
cubic;26;26;9
cubical;1;1;0
cubism;3;3;0
cubist;1;1;0
cubit;1;1;0
cubiti;1;1;1
cubits;1;1;0
cubitt;1;1;0
cuboidal;5;5;1
cuboids;1;1;1
cubs;1;1;1
cuckoos;1;1;0
cucumber;6;6;2
cucumbers;3;3;1
cucurbitaceae;2;2;1
cucurbitales;2;2;1
cucurbits;1;1;0
cucurrit;1;1;0
cudbear;1;1;1
cudmore;1;1;1
cue;4;4;2
cueca;1;1;0
cuello;1;1;0
cuernos;1;1;0
cues;8;8;1
cuesmes;1;1;1
cuestionado;1;1;0
cueva;3;3;1
cuff;1;1;0
cuffs;1;1;0
"cuhk
";1;1;1
cui;4;4;0
cuisine;27;27;12
cuisinecream;1;1;1
cuisinehidden;1;1;1
cuisines;7;7;5
cuisinevegetarian;1;1;1
cuisinier;1;1;1
cuius;1;1;0
cuivre;1;1;0
cujas;2;2;0
cukrowska;1;1;1
culbertson;1;1;1
culcita;1;1;0
culinaria;1;1;0
culinarias;1;1;0
culinaric;1;1;1
culinario;1;1;0
culinary;30;30;12
culled;1;1;1
cullen;3;3;2
cullis;1;1;0
culloden;1;1;0
culm;3;3;2
culminant;1;1;0
culminate;1;1;1
culminated;12;12;4
culminates;1;1;0
culminating;13;13;3
culmination;5;5;4
culms;1;1;0
culpeo;1;1;0
culshaw;1;1;1
cult;10;10;5
culte;1;1;1
cultivable;1;1;0
cultivar;10;10;5
cultivars;16;16;7
cultivarsleaf;1;1;1
cultivatable;1;1;1
cultivate;11;11;4
cultivated;56;56;15
cultivates;1;1;0
cultivating;8;8;3
cultivation;27;27;10
cultivations;1;1;0
cultivator;1;1;1
culto;1;1;1
cults;5;5;1
cultu;1;1;0
cultual;1;1;0
cultura;4;4;1
culturable;1;1;0
cultural;125;125;47
culturales;2;2;0
culturally;12;12;8
culture;118;118;47
culturebangladeshi;1;1;1
culturecalvaries;1;1;0
cultureculture;1;1;1
cultured;15;15;5
culturefrench;1;1;0
culturehidden;1;1;0
culturel;1;1;0
culturelle;2;2;1
culturels;1;1;0
cultureprefectures;1;1;0
cultures;72;72;28
culturing;2;2;1
cum;10;10;2
cumae;1;1;1
cumberland;1;1;0
cumbernauld;1;1;1
cumbersome;1;1;1
cumbia;1;1;1
cumbria;1;1;0
cumbric;4;4;3
cumin;1;1;1
cuming;1;1;1
cumming;1;1;1
cummings;2;2;0
cumnock;2;2;2
cumplieron;1;1;0
cumulative;9;9;3
cumulonimbus;1;1;0
cumulose;1;1;0
cunctator;1;1;1
cuneate;1;1;0
cuneiform;4;4;2
cunene;1;1;0
cunha;1;1;0
cunliffe;2;2;0
cunnane;1;1;0
cunning;1;1;0
cunningham;6;6;3
cunnington;1;1;1
cunomorus;1;1;1
cuny;2;2;1
cuo;2;2;1
cuomos;1;1;1
cup;40;40;15
cupania;1;1;0
cupboard;1;1;0
cupboards;1;1;0
cupid;2;2;0
cupola;2;2;1
cupped;1;1;0
cupping;2;2;1
cuprate;1;1;0
cupric;1;1;0
cuprous;1;1;0
cuprum;1;1;0
cups;8;8;2
cupulate;1;1;1
cupules;1;1;0
cura;4;4;1
curandera;1;1;1
curanto;1;1;0
curate;2;2;1
curated;2;2;1
curates;2;2;0
curating;1;1;1
curation;4;4;3
curative;2;2;1
curator;2;2;0
curatorial;1;1;0
curators;3;3;2
curb;6;6;3
curcuma;2;2;0
curcumin;1;1;0
curd;4;4;4
curds;2;2;1
cure;7;7;4
cured;7;7;2
cures;1;1;0
curfew;1;1;0
curia;1;1;1
curie;6;6;1
curing;1;1;1
curiosity;11;11;5
curious;9;9;4
curiously;3;3;1
curium;1;1;0
curl;2;2;1
curled;2;2;1
curli;1;1;1
curling;1;1;1
curly;2;2;1
curmi;1;1;0
curn;1;1;0
curnera;1;1;0
curphey;1;1;1
curr;2;2;1
currah;1;1;0
currant;1;1;0
curreli;1;1;0
currencies;3;3;1
currencieseconomy;1;1;0
currency;29;29;10
current;233;233;90
currently;132;132;58
